event,year,horizon,raw_DiD_pp,raw_se_pp,placebo_1_5M_pp,placebo_2M_pp,corrected_pp,corrected_se_pp
2018 entry,2015,-2,0.09,0.2,0.25,-0.06,-0.01,0.28
2018 entry,2016,-1,0.16,0.2,0.46,-0.04,-0.05,0.27
2018 entry,2017,0,0.0,,0.0,0.0,0.0,
2018 entry,2018,1,0.71,0.21,0.28,-0.11,0.62,0.26
2018 entry,2019,2,0.51,0.23,0.44,0.03,0.27,0.29
2018 entry,2020,3,0.48,0.23,0.14,-0.08,0.45,0.28
2023 exit,2020,-2,-0.06,0.32,0.49,0.04,-0.33,0.41
2023 exit,2021,-1,0.07,0.27,0.72,0.21,-0.39,0.32
2023 exit,2022,0,0.0,,0.0,0.0,0.0,
2023 exit,2023,1,-0.95,0.26,0.09,-0.36,-0.81,0.33
2023 exit,2024,2,-1.62,0.33,-0.07,-0.2,-1.48,0.38
2023 exit,2025,3,-1.98,0.27,-0.3,0.06,-1.86,0.34
